founded_year,region,city,country_code,avg_funding,total_funding
2018,Chattanooga,Chattanooga,USA,7178750,14357500
2018,London,Southampton,GBR,6524375,6524375
2018,Bucharest,Bucharest,ROM,6500000,6500000
2018,"Los Angeles","Van Nuys",USA,4500000,4500000
2018,Helsinki,Helsinki,FIN,3700000,3700000
2018,"SF Bay Area",Cupertino,USA,3310000,3310000
2018,Boston,Boston,USA,3100000,3100000
2018,Seoul,Seoul,KOR,2518988.5,5037977
2018,"The Hague",Delft,NLD,2444718,2444718
2018,Antwerp,Antwerpen,BEL,2306560,2306560
2018,"New York City","New York",USA,1900490,5701470
2018,"SF Bay Area",Millbrae,USA,1500000,1500000
2018,Milan,Milan,ITA,698453,698453
2018,London,London,GBR,400000,800000
2018,"SF Bay Area","Menlo Park",USA,225000,225000
2018,Beijing,Beijing,CHN,80000,80000
2019,Seongnam,Seongnam,KOR,15400000,15400000
2019,Toronto,Toronto,CAN,11000000,11000000
2019,Baltimore,"Owings Mills",USA,5250000,5250000
2019,"Palm Beaches","Palm Beach Gardens",USA,2860000,2860000
2019,"SF Bay Area","Palo Alto",USA,595000,595000
2019,Scranton,Scranton,USA,550000,550000
2019,"POL - Other",Bielsko-biala,POL,277967.0213,277967.0213
2019,London,London,GBR,257620,515240
2019,"New York City","New York",USA,237875,475750
2019,"MEX - Other",Cuajimalpa,MEX,210082,210082
2019,"Fort Myers","Cape Coral",USA,200000,200000
2019,Newcastle,"Newcastle Upon Tyne",GBR,158865,158865
2019,Cyprus,Nicosia,CYP,56000,56000
2019,Copenhagen,Copenhagen,DNK,40000,40000
2019,"AR - Other",Springdale,USA,33333,33333
2019,Turin,Turin,ITA,32806,32806
2019,"Cedar Rapids",Fairfield,USA,5000,5000
2020,"SF Bay Area","Mountain View",USA,23692500,23692500
2020,Beijing,Beijing,CHN,20000000,20000000
2020,Atlanta,Atlanta,USA,16274967,16274967
2020,"SF Bay Area","San Francisco",USA,14271500,28543000
2020,Paris,Paris,FRA,11480886.45,22961772.9
2020,Catania,Catania,ITA,3455250,3455250
2020,Nantes,Nantes,FRA,2432351,2432351
2020,"SF Bay Area","Menlo Park",USA,2200000,2200000
2020,"PRT - Other",GuimarÃ£es,PRT,2106889,2106889
2020,Bangkok,Bangkok,THA,2000000,2000000
2020,"New York City","New York",USA,1864275,3728550
2020,"SF Bay Area",Fremont,USA,1200000,1200000
2020,Albuquerque,Albuquerque,USA,1000000,1000000
2020,Toronto,Kitchener,CAN,500000,500000
2020,Burnaby,Burnaby,CAN,75000,75000
2020,London,London,GBR,63992,63992
2020,Vadodara,Vadodara,IND,20000,20000
2020,Guadalajara,LeÃ³n,MEX,10000,10000
2020,Kampala,Kampala,UGA,5000,5000
2021,Sydney,Sydney,AUS,8494150,8494150
2021,Seattle,Seattle,USA,7400000,7400000
2021,"New York City","New York",USA,6550000,13100000
2021,London,London,GBR,4803351,9606702
2021,"Los Angeles","Los Angeles",USA,3500000,3500000
2021,Chattanooga,Chattanooga,USA,2000000,2000000
2021,"IRN - Other",Tehran,IRN,1400000,1400000
2021,"Tel Aviv","Tel Aviv",ISR,1000000,1000000
2021,"Santa Barbara",Ventura,USA,1000000,1000000
2021,Tokyo,Tokyo,JPN,811779,811779
2021,"ISR - Other",Lehavim,ISR,400000,400000
2021,"SF Bay Area","Mountain View",USA,400000,400000
2021,Scranton,Hazleton,USA,335000,335000
2021,Detroit,Detroit,USA,200000,200000
2021,Charlotte,Charlotte,USA,165000,165000
2021,Madrid,Madrid,ESP,142765,142765
2021,Paris,Paris,FRA,126180,126180
2021,Izmir,Izmir,TUR,100000,100000
2022,"SF Bay Area","Redwood City",USA,121000000,121000000
2022,"Los Angeles","Los Angeles",USA,7150000,7150000
2022,Minneapolis,Minneapolis,USA,5000000,5000000
2022,"Los Angeles",Venice,USA,4900000,4900000
2022,Iasi,Iasi,ROM,4500000,4500000
2022,Mumbai,Mumbai,IND,3000000,3000000
2022,Geneva,Geneva,CHE,1200000,1200000
2022,Frankfurt,Mannheim,DEU,1050000,1050000
2022,"SF Bay Area","San Francisco",USA,998500,1997000
2022,"San Antonio","San Antonio",USA,850000,850000
2022,Seoul,Seoul,KOR,700000,700000
2022,"NOR - Other",Sarpsborg,NOR,500000,500000
2022,"Green Bay",Appleton,USA,400000,400000
2022,"CA - Other","Lucerne Valley",USA,340000,340000
2022,Phoenix,Chandler,USA,15000,15000
2023,"New York City",Brooklyn,USA,5300000,5300000
2023,Milan,Milan,ITA,1573650,1573650
2023,Seattle,Seattle,USA,1300000,1300000
2023,"Los Angeles","El Segundo",USA,1150000,1150000
2023,Atlanta,Atlanta,USA,1050000,1050000
2023,Boston,Boston,USA,1000000,1000000
2023,"SF Bay Area",Sunnyvale,USA,800000,800000
2023,"Los Angeles",Glendale,USA,720000,720000
2023,Melbourne,Melbourne,AUS,600000,600000
2023,Boston,"West Roxbury",USA,500000,500000
2023,Boston,Waltham,USA,500000,500000
2023,Chicago,Chicago,USA,440000,880000
2023,London,London,GBR,330472.5,660945
2023,Santiago,Santiago,CHL,241903,241903
2023,"Ft. Lauderdale","Fort Lauderdale",USA,180000,180000
2023,"Los Angeles","Los Angeles",USA,152500,305000
2023,Florence,Florence,ITA,118794,118794
2023,Lancaster,Lancaster,GBR,109883,109883
2023,Ancona,Ancona,ITA,100000,100000
2023,Tokyo,Tokyo,JPN,57939,57939
2023,Montreal,MontrÃ©al,CAN,54659.25974,54659.25974
2023,Boston,Cambridge,USA,40000,40000
2023,Monterrey,Monterrey,MEX,20000,20000
2023,Tampa,"Palm Harbor",USA,10000,10000
2024,"CHE - Other",Solothurn,CHE,21401781,21401781
2024,"AK - Other",Fairbanks,USA,8700000,8700000
2024,"New York City","New York",USA,2176666.6666666665,6530000
2024,Boston,Waltham,USA,2100000,2100000
2024,Milan,Milan,ITA,1313100,1313100
2024,"Los Angeles","Sherman Oaks",USA,1250000,1250000
2024,"SF Bay Area","San Francisco",USA,1155000,1155000
2024,Istanbul,Istanbul,TUR,600000,600000
2024,Chicago,Chicago,USA,300000,300000
2024,Minneapolis,"Saint Paul",USA,100000,100000
2024,Dover,Lewes,USA,74000,74000
2024,"Santa Barbara","Santa Barbara",USA,53000,53000
2024,"Red Deer","Red Deer",CAN,40000,40000
2024,Amsterdam,Haarlem,NLD,18584,18584
2024,London,London,GBR,100,100
2025,"New York City","New York",USA,54850000,109700000
2025,"SF Bay Area","Mountain View",USA,22000000,22000000
2025,London,Chippenham,GBR,9050000,9050000
2025,"BEL - Other",Zwijnaarde,BEL,2500000,2500000
2025,"New Delhi",Gurgaon,IND,2000000,2000000
2025,Taiwan,Taipei,TWN,2000000,2000000
2025,Nashville,Nashville,USA,1290000,1290000
2025,"Baton Rouge","Baton Rouge",USA,1200000,1200000
2025,Wellington,Wellington,NZL,650000,650000
2025,Hanover,Hanover,DEU,467880,467880
2025,"RUS - Other","Naberezhnyye Chelny",RUS,360000,360000
2025,Philadelphia,Philadelphia,USA,250000,250000
2025,Barcelona,Barcelona,ESP,196079,196079
2025,"SF Bay Area","San Jose",USA,125000,125000
2025,Denver,Boulder,USA,118000,118000
2025,Berlin,Berlin,DEU,83457,83457
2025,Vancouver,Vancouver,CAN,80000,80000
2025,"Grand Junction","Pagosa Springs",USA,29000,29000
2026,"Sao Paulo","SÃ£o Paulo",BRA,25000000,25000000
2026,Shanghai,Shanghai,CHN,23100000,23100000
2026,"SF Bay Area","Palo Alto",USA,18900000,18900000
2026,Chicago,Chicago,USA,5575000,5575000
2026,"New York City","New York",USA,1840000,3680000
2026,Austin,Austin,USA,1300000,1300000
2026,Montreal,MontrÃ©al,CAN,980000,980000
2026,"JPN - Other",Tsukuba,JPN,955000,955000
2026,"Mexico City","Mexico City",MEX,900000,900000
2026,"New Delhi",Noida,IND,250000,250000
2026,"SF Bay Area","Los Gatos",USA,150000,150000
2026,London,London,GBR,65478,65478
2026,Lexington,Lexington,USA,59700,59700
2026,"VT - Other",Williston,USA,58000,58000
2026,Sydney,Newcastle,AUS,43811,43811
2026,Santiago,Santiago,CHL,40000,40000
2026,"SF Bay Area","San Francisco",USA,28000,28000
2026,"Las Vegas","Las Vegas",USA,10000,10000
2026,"GA - Other",Buckhead,USA,5000,5000
2027,"Washington, D.C.",Chantilly,USA,40000000,40000000
2027,"SF Bay Area","Redwood City",USA,39950000,39950000
2027,Bangalore,Bangalore,IND,10000000,10000000
2027,"SF Bay Area","San Francisco",USA,8550000,8550000
2027,"New York City","New York",USA,2783333.3333333335,8350000
2027,Seattle,Seattle,USA,1200000,1200000
2027,Sacramento,Davis,USA,500000,500000
2027,Denver,Longmont,USA,500000,500000
2027,Vilnius,Vilnius,LTU,490000,490000
2027,"Bowling Green",Albany,USA,300000,300000
2027,"TX - Other",Abilene,USA,250000,250000
2027,"SF Bay Area","Palo Alto",USA,225000,225000
2027,Cagliari,Cagliari,ITA,161947,161947
2027,"Washington, D.C.",Arlington,USA,25000,25000
2028,"SF Bay Area","Menlo Park",USA,62800000,62800000
2028,Tokyo,Tokyo,JPN,17776000,17776000
2028,Frankfurt,Frankfurt,DEU,12743133,12743133
2028,"New York City","New York",USA,10000000,10000000
2028,Paris,Paris,FRA,5481231.103999999,16443693.311999999
2028,Utrecht,Utrecht,NLD,3800000,3800000
2028,Anaheim,"Huntington Beach",USA,2500000,2500000
2028,"SF Bay Area","Palo Alto",USA,1875000,3750000
2028,"Los Angeles","Santa Monica",USA,875000,875000
2028,Venice,Trieste,ITA,571049,571049
2028,"RUS - Other",Chelyabinsk-40,RUS,350000,350000
2028,Seoul,Seoul,KOR,264102,264102
2028,"SF Bay Area","Mountain View",USA,150000,150000
2028,"Washington, D.C.",Germantown,USA,3500,3500
2028,Malmo,MalmÃ¶,SWE,215,215
2029,"SF Bay Area","Palo Alto",USA,463000000,926000000
2029,"SF Bay Area","San Francisco",USA,48000000,48000000
2029,Anaheim,"Newport Beach",USA,31960000,31960000
2029,London,London,GBR,31591693,31591693
2029,Phoenix,Scottsdale,USA,1347000,1347000
2029,"New Delhi","New Delhi",IND,1070000,1070000
2029,"San Diego","La Jolla",USA,790000,790000
2029,Vancouver,Vancouver,CAN,688530,688530
2029,"Portland, Oregon",Portland,USA,618000,618000
2029,Mumbai,Mumbai,IND,600000,600000
2029,"New York City","New York",USA,600000,600000
2029,Copenhagen,Copenhagen,DNK,297549,297549
2029,Denver,Broomfield,USA,18000,18000
2029,"Los Angeles","Los Angeles",USA,15000,15000
2029,Toronto,Toronto,CAN,9522,9522
2030,"FRA - Other","Le Pecq",FRA,3808000,3808000
2030,"SF Bay Area","Santa Clara",USA,2916745,2916745
2030,"SF Bay Area","Palo Alto",USA,2500000,2500000
2030,Seattle,Redmond,USA,2261000,2261000
2030,Paris,Paris,FRA,2000000,2000000
2030,Istanbul,Istanbul,TUR,2000000,2000000
2030,"New York City","New York",USA,1200000,1200000
2030,Albuquerque,Albuquerque,USA,1100000,1100000
2030,Dallas,Dallas,USA,1000000,1000000
2030,Denver,Denver,USA,800000,800000
2030,"New York City","New City",USA,500000,500000
2030,"CO - Other",Greeley,USA,480000,480000
2030,"Washington, D.C.",Rockville,USA,475000,475000
2030,London,London,GBR,360000,360000
2030,Melbourne,Southbank,AUS,150000,150000
2030,"Costa Rica","San JosÃ©",CRI,147000,147000
2030,Santiago,Santiago,CHL,140000,140000
2030,"Tel Aviv","Tel Aviv",ISR,100000,100000
2030,Shanghai,Shanghai,CHN,100000,100000
2030,Lisbon,Lisbon,PRT,100000,100000
2030,"Orange County, California","Santa Ana",USA,50000,50000
2030,Seattle,Seattle,USA,17000,17000
2030,Sacramento,Sacramento,USA,500,500
2031,"New York City","New York",USA,2800000,2800000
2031,Sydney,Sydney,AUS,1634615,1634615
2031,Missoula,Missoula,USA,1090000,1090000
2031,"SF Bay Area","Palo Alto",USA,665000,665000
2031,Nashville,Nashville,USA,365000,365000
2031,"Ft. Lauderdale",Hollywood,USA,350000,350000
2031,"SF Bay Area","San Francisco",USA,330000,330000
2031,Cologne,Cologne,DEU,260000,260000
2031,"SF Bay Area",Oakland,USA,256000,256000
2031,Dallas,Richardson,USA,250000,250000
2031,"New York City",Brooklyn,USA,250000,250000
2031,Dallas,Dallas,USA,205920,205920
2031,"DEU - Other",Greifswald,DEU,69247,69247
2031,"Los Angeles","Los Angeles",USA,10000,10000
2031,Kiev,Kiev,UKR,10000,10000
