country_code,category_list,average_funding,num_startups
BEL,"Analytics|Cloud Computing|Cloud Data Services",44074955,1
GBR,"Brand Marketing|E-Commerce",28192646,1
USA,"Brand Marketing|Enterprise Software|Marketing Automation|Technology",15589114,1
USA,"Blogging Platforms|Curated Web|Education|Networking|Social Media",450000,1
FRA,"Child Care|Cloud Data Services|Hardware + Software|Medical Devices|Mobile Health",205032,1
USA,"Analytics|Big Data|Mobile Analytics|SaaS",11000000,1
FRA,Electronics,39079461,1
DEU,"Curated Web",467880,1
USA,"Advertising|Advertising Platforms|Digital Media|Mobile Advertising",15000000,1
USA,Energy|Technology,950000,1
AUT,Semiconductors,149938635,1
DEU,"CRM|Local|Mobile|Retail|SaaS|Sales and Marketing|Shopping|Social Media",260000,1
IRL,Software|Transportation,6779357,1
USA,"Kids|Marketplaces|Social Commerce",250000,1
USA,"Blogging Platforms|Curated Web",1000000,1
USA,"Biotechnology|Chemicals|Clean Technology|Renewable Energies",417040423,1
USA,"Corporate Training|Software",100000,1
AUS,"Environmental Innovation",4000000,1
ISR,"Apps|Navigation|Parking|Social + Mobile + Local|Transportation",1000000,1
HUN,"Artificial Intelligence|Knowledge Management",587090.0143,1
USA,"Finance|Financial Services|Mobile|Personal Finance",66000000,1
CAN,"Analytics|Big Data Analytics|Enterprise Software|Finance Technology|Financial Services|FinTech|Insurance|Predictive Analytics",1346153,1
IRL,Messaging,16940000,1
USA,"Analytics|Big Data|Internet|Media|SaaS",5550000,1
USA,"Cloud Computing|Enterprise Software",144400000,1
UGA,E-Commerce,5000,1
USA,E-Commerce|Internet,333200000,1
USA,Semiconductors|Video,10000000,1
USA,"Material Science",25000000,1
USA,"Biometrics|IaaS|Identity|Identity Management|Mobile|Online Identity|SaaS|Security|Software|Startups",830000,1
USA,"Mobile Security|Privacy|Security|Wireless",62800000,1
GBR,"Big Data Analytics|Data Visualization|FinTech|Fraud Detection",6367595,1
HRV,"Enterprise Software|Social Media Marketing|Software",30000,1
USA,"Analytics|Biotechnology|Clean Technology|Water Purification",4313980,1
CHL,Design,40000,1
USA,"Consumer Goods|E-Commerce|Wine And Spirits",900000,1
USA,Recruiting|Software,13000000,1
CHE,"Analytics|Market Research|Technology",1550000,1
USA,"Content Delivery|Education|Knowledge Management",3250000,1
USA,"Android|Cloud Computing|Mobile|Operating Systems|Software",3000000,1
USA,"Contact Management|E-Commerce|Mobile|Nonprofits|SaaS",1200000,1
USA,"Blogging Platforms|News|Social Media|Social Network Media",4360000,1
EST,Nanotechnology,10000000,1
USA,"Nanotechnology|Startups|Technology|Water Purification",50000,1
ESP,"Accounting|Cloud Computing|Small and Medium Businesses",9500000,1
USA,"Design|Energy|Social Entrepreneurship",5500000,1
MUS,"Specialty Foods",329122,1
TUR,"Ad Targeting|Advertising Exchanges|Advertising Platforms|SaaS",500000,1
USA,Databases|Finance|Recruiting|Startups,24100000,1
USA,"Crowdfunding|Finance|Medical|Medical Devices|mHealth|Physicians|Venture Capital",1500000,1
USA,"Incubators|Pre Seed|Venture Capital",7000000,1
GBR,"Angels|Crowdfunding|Enterprise Software|Finance|Startups",1000000,1
LBN,"Apps|Entertainment|Mobile|Music|Video Streaming",2750000,1
USA,"Advertising|Curated Web|Local|Reviews and Recommendations|Services",182600000,1
USA,"Audio|iOS|iPad|iPhone|News|Technology|Venture Capital",1075000,1
USA,B2B|Internet|Media|Startups,35000,1
IND,"Automotive|E-Commerce|Internet|Mobile|Mobile Commerce|Public Transportation|Transportation",1176830000,1
IND,E-Commerce|Handmade|Jewelry,500000,1
FRA,Pets,1667200,1
ESP,"Apps|Health and Wellness|Pets|Startups",335068,1
USA,"3D|Content|Games|Graphics|Virtual Worlds",150000,1
USA,Music|Photography|Presentations|Video,30000000,1
JPN,"Crowdfunding|Curated Web|Entrepreneur|Finance|Graphics",104292,1
USA,"Consumer Goods|Fitness",20454,1
ISR,"Finance|Online Gaming|Web Development",100000,1
CHN,"Real Estate",72000000,1
USA,"Artificial Intelligence|Cars|Consumer Electronics|Entertainment|Games|Hardware + Software|Robotics",105000000,1
USA,"Non Profit",500000,1
ESP,Fashion,265064,1
TUR,E-Commerce,6235547,1
AUS,"Hardware + Software|iPhone",121000,1
CAN,"Hardware + Software",8033333.333333333,3
USA,"Online Dating",35000,1
USA,Apps|Chat|Messaging,1500000,1
USA,"Identity|Networking|Opinions|Private Social Networking|Social Media|Social Network Media",200000,1
USA,"Hardware + Software|Internet of Things",1811321,1
ESP,"Apps|Brand Marketing|Sales and Marketing|Search",386483,1
USA,"Automotive|Cloud Computing|Enterprise Software",6000000,1
USA,"Content Creators",9000000,1
USA,"Collaborative Consumption|E-Commerce|Marketplaces|Social Media",35000,1
USA,"Email Marketing",700000,1
CAN,"Consumer Internet|Curated Web",10000,1
USA,"Curated Web|Information Technology",384410000,1
SWE,Software,1448500,2
USA,VoIP,2400000,1
GBR,"Biofuels|Energy|Innovation Engineering",358443,1
GBR,"Advertising|Apps|Email|Gambling|Infrastructure Builders|Promotional|SaaS|Sales and Marketing|Social Media|Software",65478,1
CHL,"Android|Apps|iPhone|Mobile|Real Time|Sports",160000,1
DEU,Sports|Technology|Wearables,831914.2444,1
USA,"Consumer Electronics",3700000,3
CAN,"Clean Technology",50115000,5
NLD,"Hardware + Software",17720000,1
DNK,"Application Platforms|Events|Fantasy Sports",187291,1
USA,"Gold|Investment Management|Services",3200000,1
AUS,Media,600000,1
FRA,"Big Data|Data Integration|Semantic Search",3500000,1
USA,"Finance|Venture Capital",216666.66666666666,3
ITA,"Boating Industry|ICT|Online Travel|Sailing Community|Social Travel|Travel|Travel & Tourism|Vacation Rentals",779302,1
SWE,"Health Care",3462380,1
USA,"Classifieds|Databases|Local Based Services|Location Based Services|Marketplaces|Mobile|Real Time|Twitter Applications|Wireless",825000,1
FRA,E-Commerce|Media|Software,1067625,1
IND,"Enterprise Software",3000000,1
GBR,Semiconductors,1303625,2
ISR,"Android|Browser Extensions|Events|iPhone|Mobile|Productivity Software|Utilities",4500000,1
ISR,Chat|Messaging,500000,1
USA,"Advertising|Advertising Platforms|Big Data|Content Delivery|Content Syndication|Developer APIs|Digital Media|Entertainment|Film|Internet Marketing|Publishing|Search|Television|Video|Web Development",21000000,1
USA,"Curated Web|Mobile|Social Media",175000,1
JPN,"B2B|Crowdsourcing|Curated Web|Language Learning",1080000,1
SWE,Mobile|Telecommunications|Wireless,3040733,1
BEL,"3D|Content|Graphics|Public Relations",2306560,1
AUT,"Energy Management",500000,1
USA,"Software|Telecommunications|Video Conferencing",2600000,1
USA,"Discounts|E-Commerce|Employer Benefits Programs|Human Resources|Incentives|Loyalty Programs|Subscription Businesses",14350000,1
USA,"Android|Apps|Cloud Computing|Developer APIs|Enterprise Software|iOS|Mobile|Mobile Software Tools|Mobility|PaaS|SaaS|Web Development",13500000,1
USA,"Hardware + Software|Internet|Television|Video Streaming",3200000,1
USA,Ticketing|Travel,10000000,1
THA,"Apps|Insurance Companies|Real Time|Services",2000000,1
USA,"Advertising Platforms|Content Creators|Digital Media|News",1000000000,1
USA,Biometrics|Biotechnology|Security,89877849,1
ISR,"Enterprise Security|Network Security|Security",11000000,1
USA,"Hardware|Innovation Management|Services|Startups",2000000,1
DEU,"Clean Technology|Cloud Infrastructure",6346880,1
FIN,Entertainment|Games|Internet|Messaging,2524025,1
IND,"Content|Digital Media|Entertainment|Mobile|Video Streaming",18500000,1
USA,"Curated Web|Online Rental|Real Estate",37000000,1
ESP,"Hardware|Price Comparison|Real Estate|Search|Travel|Vacation Rentals",70000,1
USA,"Cloud Computing|Cloud Infrastructure|Cloud Security|Data Center Infrastructure|Enterprise Software|Governance|Software",7200000,1
USA,"Big Data|Fitness|Health and Wellness|SaaS|Sports|Training",20000,1
USA,"Health Care|Medical|Service Providers",3853000,1
USA,Bioinformatics|Biotechnology|Diagnostics,375000,1
USA,Mobile|Wireless,93914889.5,2
USA,"Artificial Intelligence|Assisitive Technology|Audio|Mobile|Natural Language Processing",8600000,1
USA,"Cloud Computing|Consumer Electronics|Developer APIs|SaaS|Services|Testing",40000,1
USA,"Data Integration|Developer APIs|Infrastructure|Software|Testing",8550000,1
SWE,"Enterprise Software",8890081,2
BRA,"Cloud Computing|SaaS|Software",23522,1
USA,"Biotechnology|Health Care|Medical Devices",104004951.33333333,3
USA,"Cloud Data Services|Enterprise Software",173000000,1
USA,"Analytics|Big Data|Testing",650000,1
ITA,"Cloud Computing|DIY|Electronics|Embedded Hardware and Software|Hardware + Software|Internet of Things",100000,1
USA,"Cloud Computing|Consumer Electronics|Developer APIs|Internet|SaaS|Software",2900000,1
USA,Accounting|Nonprofits|Software,3350000,1
IND,Credit|Finance|Marketplaces,17200000,1
USA,"Design|E-Commerce|Internet|SEO|Software|Web Development",70000,1
BRA,"Local Search|Mobile",15000000,1
USA,"Cloud Computing|Enterprises|Gamification|Information Security|SaaS|Security|Training",800000,1
USA,"Analytics|Big Data Analytics|Mobile",94000000,1
USA,"Android|Customer Service|Enterprise Software|iOS|Mobile|SaaS|Sales and Marketing",1195000,1
USA,"Apps|Mobile Software Tools",964997,1
USA,"Analytics|Business Intelligence|Data Visualization|Development Platforms",746000,1
USA,"Apps|Enterprise Software",1750000,1
GBR,"Finance Technology|FinTech|Mobile Payments|Payments",1700000,1
USA,"Advertising|Facebook Applications",1200000,1
USA,"Analytics|Apps|Mobile|Real Time",300000,1
USA,"Advertising|B2B|Local|Sales and Marketing|Social Media|Sponsorship",1815000,1
USA,"App Discovery|Apps|Hardware|Marketplaces|Mobile Devices",1299787,1
USA,"Android|Apps|Developer Tools|iOS|Mobile|Startups",2525563,1
USA,Databases|SaaS,380000,1
USA,"Developer APIs|Facebook Applications|Marketplaces|Mobile",600000,1
USA,"Analytics|Android|Apps|CRM|iOS|Marketing Automation|Mobile|Social Media|Software",22500000,1
USA,"Analytics|Business Intelligence|Loyalty Programs",6500000,1
USA,"Advertising Exchanges|Employment|Human Resources|Recruiting",7400000,1
USA,"Enterprise Software|Mobile|Mobility|Open Source",87900000,1
USA,"Android|App Stores|Enterprise Software|iOS|iPad|iPhone|Mobile",4000000,1
USA,"Information Technology|Internet|SaaS|Software",7500000,1
USA,"Government Innovation|Mobile|Open Source|PaaS",1100000,1
CHN,"Marketing Automation",10000000,1
USA,Apps|Mobile|Software,22623720,1
USA,"Cloud Computing|Cloud Management|Enterprise Software",11600000,1
USA,"Productivity Software",1200000,1
USA,"Software|Web Design|Web Development",250000,1
USA,"Apps|Enterprise Software|IaaS|PaaS|SaaS",245750000,1
KOR,Advertising,3102238,2
USA,"Enterprise Software|Mobile Security|Security",14000000,1
USA,"Application Performance Monitoring|Apps|Business Analytics|Information Services|Information Technology|Internet|Software",364500000,1
GBR,"Brand Marketing|Fashion|Local Commerce|Marketplaces|Real Estate|Retail|Shopping",9400000,1
SWE,"B2B|Construction|Enterprise Software|Mobile|Mobility|PaaS|SaaS|Software|Transportation|Web Development",7267800,1
ITA,"Hospitality|Local Search|Online Reservations|Restaurants",161947,1
FIN,"Information Technology",564682,1
USA,Apps|B2B|Mobile|Software,550000,1
USA,"Application Performance Monitoring|Cloud Management|Enterprise Software|Virtualization",2916745,1
RUS,Mobile|Software,375000,2
USA,"Android|App Stores|Enterprises|iOS|iPad|iPhone|Mobile",39400000,1
USA,"Local Businesses|Network Security|Restaurants|SaaS|Sales and Marketing",120000,1
USA,"Android|App Marketing|Mobile|Software",65000,1
USA,Mobile|Restaurants|Technology,125000,1
USA,"Analytics|Application Performance Monitoring|Enterprise Software|SaaS",20025000,1
RUS,"App Stores|Mobile|Mobile Analytics",25000,1
ISR,"Advertising|Artificial Intelligence|Business Intelligence|Internet Marketing|Social Media Marketing",2200000,1
USA,"Cloud Computing|Cloud Infrastructure|Enterprise Software|Infrastructure",7000000,1
UGA,Apps|Consulting|Graphics|Mobile|Technology,15000,1
SWE,"Meeting Software|Network Security|Security",3180000,1
CAN,iOS|Mobile,15000,1
FRA,"App Stores|Mobile",13500000,1
USA,"Android|Apps|Cloud Computing|Internet|iPhone|Mobile|Mobile Software Tools|Web Development",3500000,1
USA,"Advertising|App Stores|Mobile",44250000,1
USA,"Application Platforms|Business Productivity|Cloud Computing|Collaboration|Enterprise Software|Mobile|Mobile Enterprise|Social Business|Software|Web Development|Web Tools",47499994,1
USA,"Health Care Information Technology|Medical",1080000,1
TWN,"Analytics|Artificial Intelligence",29000000,1
CAN,"Development Platforms|Mobile|PaaS|SaaS",318627,1
BEL,"Big Data|E-Commerce|Marketing Automation|Mobile",1231629,1
USA,"Mobile|Social Media",600000,1
USA,"Advertising Platforms|Apps|Games|Mobile|Mobile Advertising",1200000,1
USA,"Opinions|Social Media|Software",5600000,1
USA,"Cyber Security|Mobile Security|SaaS",2300000,1
GBR,"Mobile|Mobile Software Tools",2250000,1
USA,"Cloud Computing|Enterprise Software|SaaS|Software",111700000,1
USA,"Analytics|Big Data|Cloud Computing|Genetic Testing|Life Sciences",47697751,1
USA,Apps|Mobile|Mobility|Software,500000,1
USA,"Curated Web|Software|Venture Capital",715000,1
SWE,"Apps|App Stores|Content|Mobile|Software",1100000,1
ISR,"Enterprise Software|SaaS|Software",401500,1
USA,"Analytics|Information Technology|Professional Services|Software|Testing",80800000,1
GBR,"Cloud Computing|Web Hosting",802366,1
USA,"Computers|Consumer Electronics|Electronics|Hardware + Software|Retail",250000,1
IND,Education,2634166.6666666665,3
USA,"Fashion|Photography|Web Development",50000,1
ISR,Mobile,2212500,4
ISR,"Social Television|Video on Demand|Video Streaming",10500000,1
IND,"Information Technology",1049988,3
USA,"Cloud Computing|CRM|Finance|Finance Technology|FinTech|Software",18000,1
CAN,Nanotechnology,370356,1
ITA,"Electric Vehicles|Information Technology|Mobile Analytics|Smart Grid",161211.1615,1
FIN,"Advertising|Facebook Applications|Games|Social Games",6000000,1
DEU,"Advertising|Mobile|Mobile Advertising|Mobile Games|Monetization",20000000,1
USA,Apps|Software,731500,2
FIN,"Application Performance Monitoring|Business Productivity|Computers|Corporate IT|Enterprise Software|IT Management|Licensing|Productivity|Productivity Software|SaaS|Security|Service Providers|Small and Medium Businesses|Software Compliance",462166.195,1
JOR,Enterprises|iOS|iPad|iPhone|Software,160000,1
USA,"Ad Targeting|Apps|Mobile Commerce",4020000,1
GBR,EdTech|Education|Technology,34330,1
USA,Colleges|Education,100000,1
USA,"Enterprise Software|Online Rental|Real Estate",125000,1
USA,"Analytics|Big Data|Colleges|Education",90000,1
USA,"Enterprises|Enterprise Software|Mobile",3000000,1
USA,"Android|Enterprise Application|iPhone|Mobile|Mobile Enterprise|Mobile Security",9402703,1
USA,"Application Performance Monitoring|Cloud Computing|Information Technology|Software",55799998,1
USA,"Cloud Computing|Enterprise Software|RIM|SaaS|Software",11700000,1
USA,"Android|Apps|Curated Web|Internet|iOS|iPad|iPhone|Mobile|Mobile Software Tools|Software|Web CMS",50000,1
GBR,"Email Marketing|Online Reservations|Online Scheduling",265509,1
USA,Apps|Mobile,2569000,1
USA,"Big Data|Cloud Computing|Internet of Things",1500000,1
USA,"B2B|Cloud Data Services|CRM|Enterprise Application|SaaS|Small and Medium Businesses|Video Conferencing",50000,1
ISR,Apps|Mobile,1800000,1
USA,"Advertising|iPad|iPhone|iPod Touch|Mobile",700000,1
USA,E-Commerce|Email|Payments,800000,1
USA,"Cloud Computing|Enterprise Software|PaaS|SaaS",56000000,1
SWE,"Advertising|E-Commerce|Social Commerce",364742,1
IDN,Consumers|Mobile,2400000,1
FRA,CRM|Mobile|SaaS|Tablets,200000,1
ITA,"Android|Apps|iPad|iPhone|Mobile|Storage|Web Development|Web Tools",3455250,1
USA,"Mobile|QR Codes|Web CMS",40000,1
USA,"Apps|Open Source|Software",7000000,1
NOR,"Cloud Computing|Identity Management|Marketplaces|PaaS|SaaS|Software",500000,1
USA,Finance|Software,118000,1
USA,"Enterprise Software|Virtualization",70978783,1
FRA,Advertising|Android|iOS|Mobile|Promotional,8699999,1
ISR,"Advertising|Android|Apps|App Stores|iOS|Mobile|Mobile Analytics|Sales and Marketing",27100000,1
BEL,"Android|Consumer Electronics|Crowdfunding|Finance|iOS|Mobile",250000,1
GBR,Apps|iPhone|Mobile|SaaS|Startups|Technology,32090,1
USA,"Developer Tools",2015000,1
USA,"App Marketing|E-Commerce|Mobile",1925000,1
USA,Android|Apps|Finance|iOS|iPhone|Mobile,30000,1
SWE,"DIY|Mobile Commerce|SaaS",329500,1
USA,"Apps|App Stores|Developer APIs|Mobile|Publishing|Software",1155000,1
IND,"Advertising|Curated Web|Mobile|Virtualization",200000,1
USA,"All Markets|Android|Apps|iPhone|Marketplaces|Mobile|Reviews and Recommendations|Storage",10671168,1
USA,"Mobile|Sports|Video Streaming",615000,1
USA,"Android|Communications Infrastructure|iOS|Mobile|Mobile Analytics|Mobile Software Tools|SaaS",6515000,1
USA,Mobile|Sports,1700000,1
USA,"Application Platforms|Internet|Mobile",800000,1
USA,"Android|Cyber Security|iOS|Mobile|SaaS|Testing",618000,1
USA,"Art|Digital Media|Mobile|Publishing",282355,1
USA,"Corporate IT|Enterprise Software|SaaS",136000000,1
USA,"Apps|E-Commerce|Mobile|Mobile Commerce",1350000,1
USA,"Apps|Big Data|Big Data Analytics|Marketplaces|Mobile",1767000,1
USA,Android|Apps|iOS|Mobile|Testing,6250000,1
USA,"Advertising|Employment|Facebook Applications|Media|News|Recruiting|Social Network Media|Software",2000000,1
USA,"Crowdfunding|Development Platforms|Finance|Investment Management|Mobile|Venture Capital",165000,1
CAN,"Android|Internet|Internet of Things|iOS|Mobile|Web CMS|Web Development|Web Hosting|Web Tools",54659.25974,1
ISR,Advertising|Android|Mobile,1400000,1
USA,Accounting,100000,1
USA,"Cloud Computing|Software|Video",3000000,1
BGR,Apps|Computers|Software,54857.24317,1
USA,"Clean Energy|Electrical Distribution|Energy|Industrial Energy Efficiency|Rural Energy",30000000,1
USA,B2B|FinTech|Mobile|SaaS,500000,1
USA,"Information Technology|Internet|Software",1950000,1
CAN,"Health and Insurance|Health and Wellness|Lifestyle|mHealth|Personal Health|Software",75709,1
USA,"Medical Devices|Software",6800000,1
USA,"Developer APIs|Developer Tools|Mobile|Mobile Payments|Mobility|Payments|Security|Transaction Processing|Wireless",20159162,1
USA,"All Students|Colleges|Education|Freelancers|Internet|Marketplaces|Photo Editing",20000,1
USA,"Analytics|Big Data|Design",1875000,1
USA,B2B|E-Commerce|Payments,400000,1
USA,"Advertising|Analytics|Apps|Data Integration|iOS|Mobile|Mobile Analytics|Optimization|Software",22800000,1
USA,Agriculture|Biotechnology,1117139,1
GBR,"Biotechnology|Health Diagnostics",29035275.269666668,3
USA,"Cloud Computing|Enterprises|Software|Web Development",13292327,1
USA,"Enterprise Software|Health and Insurance|Health Care|PaaS|Privacy|Security",120000,1
USA,"Analytics|Business Intelligence|SaaS",1200000,1
USA,"Cloud Computing|Commercial Real Estate|CRM",10375000,1
PRT,Mobile,909161,1
USA,CRM|SaaS|Software,186000000,1
USA,"Advertising|Blogging Platforms|Curated Web|Publishing",4600000,1
USA,"Analytics|Auto|E-Commerce|Insurance|Software|Web Development",359742,1
CHN,"Apps|Personalization|Service Providers|Utilities",116000000,1
NLD,"Clean Technology",62950000,2
ESP,Mobile|Security|Software|Technology,4270000,1
FRA,"Public Relations",29567009,1
AUS,"Clean Technology",8180000,1
USA,"Energy Efficiency|Energy Management|Enterprise Software|Internet of Things|SaaS|Software",7472500,1
CAN,"Biotechnology|Health Care",74119365,1
USA,"Digital Media|Mobile Advertising|Telecommunications|Wireless",16000000,1
ISR,"Clean Technology|Water",8100000,1
EGY,"Computers|Consumer Electronics|E-Commerce|Electronics|Hardware|Mobile|Tablets",145000,1
DEU,"Artificial Intelligence|Enterprise Software|Information Technology|Services",55000000,1
DEU,"Big Data|Databases|Enterprise Software|Open Source|Software",2094063,1
CHL,"Ad Targeting|Advertising Platforms|Mobile Advertising|Retail Technology",500000,1
CHE,"Document Management|Open Source|Software",21401781,1
USA,"B2B|Construction|Interior Design|Marketplaces|Search",1060000,1
USA,"Manufacturing|Medical|Medical Devices",20000000,1
USA,"Analytics|Health Care|Health Care Information Technology|SaaS",9737605,1
USA,"Clean Technology|Recycling|Waste Management",150000,1
USA,Restaurants,7100000,1
CAN,"Health Care",666953,1
AUS,Gamification|SaaS,64860,1
USA,"Clean Energy|Consumer Internet|Energy|Renewable Energies",1500000,1
USA,"Health Care Information Technology",6945000,2
USA,"Advertising Platforms|Analytics|Big Data|Digital Media",540000,1
USA,"Environmental Innovation|Green|Natural Resources|Pets",390000,1
USA,"Cloud Computing|Customer Service|Enterprise Software|Telecommunications",28000,1
USA,Games|Sensors,5000000,1
USA,Aerospace|Photography|Software,100000,1
CHE,"3D Technology|Architecture|Real Estate|Technology",2300000,1
USA,"E-Commerce|Financial Services",125000000,1
USA,"Architecture|Databases|Design|Enterprise Software|Interior Design|Real Estate|Social Media",3508711,1
FRA,"Architecture|Interior Design|Internet|Services",111540,1
USA,"Business Services|Enterprises|Information Technology",12500000,1
USA,CRM|Recruiting|Software,297000,1
PRT,"3D Printing|Architecture|Bitcoin|Construction|Crowdfunding|Cryptocurrency|FinTech|Real Estate",328000,1
USA,"Automotive|Electric Vehicles",1000000,1
USA,"Android|Apps|iOS|Photography|Photo Sharing|Video",750000,1
USA,Email|Messaging,3000000,1
ESP,"Business Analytics|Contact Management|Information Technology|Mobile|Services|Software",34060000,1
USA,"Digital Media|Mobile|Photography|Software|Video",20000000,1
JPN,"Big Data|Services|Social Network Media",1567000,1
CAN,"Games|Mobile Games|Social Games|Software",393669,1
CAN,"Network Security",27250000,1
USA,Therapeutics,6300000,1
USA,"Consulting|Software|User Experience Design",400000,1
THA,"E-Commerce|Finance|Startups|Venture Capital",12500000,1
FRA,"Investment Management",10080000,1
USA,"Language Learning",1955000,1
USA,Networking,100000,1
USA,Internet|Technology,6809333,1
USA,"Cyber Security|Data Security|Security",25500000,1
USA,"Games|Mobile Games|Social Games",900000,1
USA,"Analytics|Bridging Online and Offline|Software",435000,1
USA,"Application Platforms|Online Gaming|Social Games",955000,1
GBR,"Curated Web|Flowers",310000,1
USA,"Architecture|Art|Colleges|EdTech|Education|Promotional|Technology|Tourism|Travel|Travel & Tourism|Universities",230000,1
USA,"Energy|Real Estate|Software",150000,1
USA,"Data Integration|Data Visualization|Enterprise Software|SaaS",1525000,1
USA,News,7232060,9
USA,"Algorithms|Analytics|Consumer Lending|Finance|Finance Technology|Financial Services|FinTech|Innovation Engineering|Machine Learning|Personal Finance",80050000,1
USA,"Mobile|Mobile Payments",500000,1
ISR,"Automotive|Cyber Security",30000000,1
USA,"Analytics|Consumer Electronics|Market Research|Predictive Analytics|Social Media|User Experience Design",200000,1
BEL,"Advertising|Deep Information Technology|Mobile|Predictive Analytics",8791580,1
USA,"Analytics|Brand Marketing|Online Scheduling|Social CRM|Software|Twitter Applications",1565000,1
USA,E-Commerce|Software,4800000,1
USA,"Analytics|Health Diagnostics",350000,1
USA,Audio|Technology|Wearables,13600000,1
USA,"Billing|Cloud Computing|Enterprise Software|Monetization|SaaS|Subscription Businesses",82300500,1
USA,Consulting|Wireless,64700000,1
USA,"Corporate IT|Software",2860000,1
GBR,Mobile,14019268.2,5
IND,"Real Estate",54000000,1
CHE,"Games|Online Gaming|Virtual Worlds",400000,1
USA,"Consumer Electronics|Electronics|Services",73000,1
USA,"B2B|Business Services|Services",30000000,1
USA,"Design|Home Automation|Home Decor",30000,1
USA,Education|Nonprofits|Universities,1000000,1
USA,"Business Services|Finance Technology|FinTech|Innovation Engineering",3000000,1
USA,"Business Analytics|Business Services|Trading",600000,1
USA,"Advertising|Information Technology|Internet|Internet Marketing|Search|SEO",1000000,1
USA,"Data Security|Flash Storage|Home & Garden|Linux|Open Source|Software",7000000,1
GBR,Consulting,27787077.666666668,3
USA,Computers|Networking|Software,22000000,1
GBR,"Cloud Data Services|Data Security|Information Technology|Services",4662037,1
USA,"Brand Marketing|Broadcasting|Content Creators|Digital Media|Energy|Social News|Sports|Video Streaming",4076321,1
CAN,"Email Marketing|Internet Marketing|Sales and Marketing|Social Media|Social Media Marketing|Software",54493,1
CHE,Semiconductors,2536390.6666666665,3
USA,"Cyber Security|IaaS|IT and Cybersecurity|Security",60100000,1
USA,"Cloud Security|Enterprise Software|Mobile Commerce|Productivity Software",2000000,1
USA,"Security|Web Tools",955000,1
USA,Retail,283500,1
USA,"Big Data|Cyber Security|Data Security|Identity|Information Security|IT and Cybersecurity|Risk Management|Sustainability",350000,1
USA,Politics,940000000,1
RUS,"Beauty|Online Shopping|SaaS",200000,1
USA,"Agriculture|Biotechnology|Consumer Goods|Food Processing",1000000,1
PRT,"Analytics|Mobile|Mobile Software Tools|Real Time|Retail|Software|Wireless",2500000,1
USA,"Local Based Services|Mobile|Social Search",90000,1
USA,"Brewing|Craft Beer|Manufacturing|Wine And Spirits",280000,1
USA,"Fashion|Music|Social Network Media|Video Chat",275000,1
USA,"E-Commerce|Social Commerce|Social Media|Startups",2500000,1
GBR,"Curated Web",4242704,1
USA,"Cloud Security|Software|Web Development",45550000,1
USA,"Enterprise Software|Health Diagnostics",1000000,1
USA,"Lifestyle|Lifestyle Products|Real Time",105000,1
GBR,"Big Data Analytics|Natural Language Processing",40269828,1
CHL,"Cars|Online Rental|Shared Services",64512,1
USA,"Events|Meeting Software|Social Media|Startups|Travel",10000,1
USA,Logistics|Manufacturing|Storage,2250000,1
GBR,Biotechnology|Medical,34898793,1
USA,"Enterprise Software|Payments",58900000,1
AUT,Biotechnology,30400002,1
USA,Art|Design,56240000,1
USA,"Art|Marketplaces|Mobile|Mobile Commerce",281000,1
USA,Art|Discounts|E-Commerce|Shopping,40000,1
USA,"Art|Curated Web|Design",50880053,1
AUS,Advertising|Art|Internet|Networking|Startups,150000,1
GBR,"Games|Music|Photography|Presentations|Social Network Media",10000,1
USA,"Art|Artists Globally|Auctions|Finance|Photography",50000,1
USA,"Art|Internet|Social Network Media",500000,1
PER,"Artists Globally|Internet|Social Network Media",99498,1
USA,"Analytics|Health Care|Healthcare Services|Services|Visualization",1995000,1
GBR,"Banking|Business Intelligence|CRM|Enterprise Software|Finance|SaaS|Security|Social CRM|Social Media Monitoring|Software|Utilities",11176477,1
USA,"Art|Artists Globally|Marketplaces",50000,1
USA,Art|Crowdfunding|FinTech|Marketplaces,1200000,1
BGR,"Artificial Intelligence|Fashion|Services",67022,1
CAN,"Diagnostics|Health Diagnostics|Medical",3000000,1
USA,"Intellectual Property|Legal|Software",10000000,1
IND,Journalism|News,1000000,1
USA,"EdTech|Education|Health Care|Kids|Language Learning|Medical|Technology|Therapeutics",996000,1
USA,"Health and Wellness|Health Care|Medical",2200000,1
ESP,Mobile,9541963,2
USA,"Games|Software|Video Games|Web Development",2500000,1
SWE,Manufacturing,540315,1
USA,"Consumer Electronics|Hardware|Hardware + Software",200000,1
USA,"Analytics|Android|Apps|CRM|iOS|Marketing Automation|Mobile|Optimization|Personalization|Software",7000000,1
CAN,Marketplaces,11000,1
RUS,"Art|Artists Globally|Design|Digital Media|Lead Generation|Music Education|Musicians|Performing Arts|Private Social Networking|Reviews and Recommendations|Writers",100000,1
USA,Art,1100000,1
CHE,Art|E-Commerce,1200000,1
IND,"Finance|Financial Services|FinTech|Information Technology|Social Entrepreneurship|Software|Technology",630000,1
GBR,Entertainment|Film|News|Software,125439500,1
USA,Advertising|Enterprises,330000,1
USA,Designers|Marketplaces|Retail,1000000,1
USA,Art|E-Commerce,390000,1
FRA,Art|E-Commerce|Marketplaces|SaaS,413177,1
FRA,Art,1684764.312,1
GBR,Art|SaaS|Services,161688,1
USA,"Application Platforms|Art|E-Commerce|Ediscovery",800000,1
ISR,"Physical Security|Security",1298798,1
LUX,Classifieds|E-Commerce,124690,1
